timestamp,rater,test,item_id,response,response2,elapsed_s,note,params
2026-07-26T18:01:45,rater_4f04,melody,v0__folk__L14,neutral,no,31.84,the drone is too loud. cannot hear the melody,"{""style"": ""folk"", ""level_db"": -14.0, ""valence"": -0.7, ""arousal"": -0.5, ""has_melody"": true}"
2026-07-26T18:02:45,rater_4f04,melody,v0__boc__L8,neutral,no,59.92,now it;s just the main drone changing. this is not a subbase with melody on top tyhat i asked for,"{""style"": ""boc"", ""level_db"": -8.0, ""valence"": -0.7, ""arousal"": -0.5, ""has_melody"": true}"
2026-07-26T18:04:11,rater_4f04,modulation,vtrans_028__chorus_mild,neutral,yes,39.32,the movement may be too quick,"{""clip_id"": ""vtrans_028"", ""effect"": ""chorus"", ""strength"": ""mild"", ""rate_hz"": 0.3, ""depth_ms"": 5.0, ""voices"": 2, ""mix"": 0.35}"
2026-07-26T18:05:23,rater_4f04,modulation,vtrans_028__flange_strong,positive,yes,72.29,"nice. his creates some strange spacey effect. though if you do this, you kid of have to hit all the notes rather than letting them slip off key","{""clip_id"": ""vtrans_028"", ""effect"": ""flange"", ""strength"": ""strong"", ""rate_hz"": 0.3, ""depth_ms"": 5.0, ""feedback"": 0.55, ""mix"": 0.55}"
2026-07-26T18:06:09,rater_4f04,modulation,vtrans_028__dry,positive,yes,46.24,this is better than the first onlym which felt a bit rushed,"{""clip_id"": ""vtrans_028"", ""effect"": ""none"", ""strength"": ""none""}"
2026-07-26T18:06:36,rater_4f04,modulation,vtrans_028__phaser_mild,positive,yes,26.97,even better,"{""clip_id"": ""vtrans_028"", ""effect"": ""phaser"", ""strength"": ""mild"", ""rate_hz"": 0.15, ""stages"": 4, ""feedback"": 0.25, ""mix"": 0.35}"
2026-07-26T18:07:01,rater_4f04,modulation,vtrans_028__chorus_strong,positive,yes,25.28,best so far in the collection,"{""clip_id"": ""vtrans_028"", ""effect"": ""chorus"", ""strength"": ""strong"", ""rate_hz"": 0.6, ""depth_ms"": 10.0, ""voices"": 3, ""mix"": 0.55}"
2026-07-26T18:07:25,rater_4f04,modulation,vwander_049__dry,neutral,yes,24.03,this is,"{""clip_id"": ""vwander_049"", ""effect"": ""none"", ""strength"": ""none""}"
2026-07-26T18:07:50,rater_4f04,modulation,vwander_049__phaser_strong,neutral,yes,24.4,,"{""clip_id"": ""vwander_049"", ""effect"": ""phaser"", ""strength"": ""strong"", ""rate_hz"": 0.3, ""stages"": 8, ""feedback"": 0.45, ""mix"": 0.55}"
2026-07-26T18:08:16,rater_4f04,modulation,vwander_049__chorus_mild,positive,yes,25.9,,"{""clip_id"": ""vwander_049"", ""effect"": ""chorus"", ""strength"": ""mild"", ""rate_hz"": 0.3, ""depth_ms"": 5.0, ""voices"": 2, ""mix"": 0.35}"
