timestamp,rater,test,item_id,response,response2,elapsed_s,note,params
2026-07-29T08:11:09,rater_daa5,melody,v0__boc__lead__struck,neutral,yes,100.93,loudness not consistent between melody notes. this can work as a feature but i think it's more like a glitch. base still a bit wobbly,"{""style"": ""boc"", ""role"": ""lead"", ""generator"": ""markov"", ""envelope"": ""struck"", ""level_db"": 0.0, ""articulated"": true, ""own_voice"": true, ""octave"": 0, ""root_hz"": 283.9, ""valence"": -0.5, ""arousal"": -0.3, ""has_melody"": true}"
2026-07-29T08:14:26,rater_daa5,melody,v0__kbd__lead__swell,neutral,yes,197.41,tbh. this sounds like one of the OG drone clips but with faded pauses in between,"{""style"": ""kbd"", ""role"": ""lead"", ""generator"": ""markov"", ""envelope"": ""swell"", ""level_db"": 0.0, ""articulated"": true, ""own_voice"": true, ""octave"": 0, ""root_hz"": 283.9, ""valence"": -0.5, ""arousal"": -0.3, ""has_melody"": true}"
2026-07-29T08:15:37,rater_daa5,melody,v1__kbd__lead__swell,negative,yes,70.57,this creates some yearning. but not quite,"{""style"": ""kbd"", ""role"": ""lead"", ""generator"": ""markov"", ""envelope"": ""swell"", ""level_db"": 0.0, ""articulated"": true, ""own_voice"": true, ""octave"": 0, ""root_hz"": 156.5, ""valence"": -0.5, ""arousal"": 0.3, ""has_melody"": true}"
2026-07-29T08:17:48,rater_daa5,melody,v1__chant__lead__struck,neutral,yes,131.31,good clean melody. melody itself is nothing special - much like a an 8 year old learning to play the flute,"{""style"": ""chant"", ""role"": ""lead"", ""generator"": ""markov"", ""envelope"": ""struck"", ""level_db"": 0.0, ""articulated"": true, ""own_voice"": true, ""octave"": 0, ""root_hz"": 156.5, ""valence"": -0.5, ""arousal"": 0.3, ""has_melody"": true}"
2026-07-29T08:18:26,rater_daa5,melody,v0__folk__texture__flat,negative,yes,37.96,i think i can hear some melody as texture deep down.,"{""style"": ""folk"", ""role"": ""texture"", ""generator"": ""markov"", ""envelope"": ""flat"", ""level_db"": -16.0, ""articulated"": false, ""own_voice"": false, ""octave"": -1, ""root_hz"": 141.9, ""valence"": -0.5, ""arousal"": -0.3, ""has_melody"": true}"
2026-07-29T08:19:36,rater_daa5,melody,v0__boc__texture__flat,neutral,yes,69.63,,"{""style"": ""boc"", ""role"": ""texture"", ""generator"": ""markov"", ""envelope"": ""flat"", ""level_db"": -16.0, ""articulated"": false, ""own_voice"": false, ""octave"": -1, ""root_hz"": 141.9, ""valence"": -0.5, ""arousal"": -0.3, ""has_melody"": true}"
2026-07-29T08:21:12,rater_daa5,melody,v1__L3_d128__lead__swell,positive,yes,96.55,"this is nice - start of melody grabs your attention. tho the rhythm of the melody is a bit samey,.if all melodies in live conductor follow the same motif, it will sound boring after a while","{""style"": ""L3_d128"", ""role"": ""lead"", ""generator"": ""transformer"", ""envelope"": ""swell"", ""level_db"": 0.0, ""articulated"": true, ""own_voice"": true, ""octave"": 0, ""root_hz"": 156.5, ""valence"": -0.5, ""arousal"": 0.3, ""has_melody"": true}"
2026-07-29T08:22:14,rater_daa5,melody,v1__boc__lead__swell,neutral,yes,61.91,"very nice and less draggy. this BOC motif clearly has more energy. again, rhythm sounds samey","{""style"": ""boc"", ""role"": ""lead"", ""generator"": ""markov"", ""envelope"": ""swell"", ""level_db"": 0.0, ""articulated"": true, ""own_voice"": true, ""octave"": 0, ""root_hz"": 156.5, ""valence"": -0.5, ""arousal"": 0.3, ""has_melody"": true}"
2026-07-29T08:23:54,rater_daa5,melody,v1__chant__texture__flat,neutral,yes,100.39,nice discreet subtle melody hidder for people to hind when the sounds system is right,"{""style"": ""chant"", ""role"": ""texture"", ""generator"": ""markov"", ""envelope"": ""flat"", ""level_db"": -16.0, ""articulated"": false, ""own_voice"": false, ""octave"": -1, ""root_hz"": 78.3, ""valence"": -0.5, ""arousal"": 0.3, ""has_melody"": true}"
2026-07-29T08:26:31,rater_daa5,melody,v0__chant__lead__struck,negative,yes,156.72,,"{""style"": ""chant"", ""role"": ""lead"", ""generator"": ""markov"", ""envelope"": ""struck"", ""level_db"": 0.0, ""articulated"": true, ""own_voice"": true, ""octave"": 0, ""root_hz"": 283.9, ""valence"": -0.5, ""arousal"": -0.3, ""has_melody"": true}"
