timestamp,rater,mode,clip_id,path,reverb,valence_grade,use_grade,arousal,arousal_body,preference,note
2026-07-25T16:10:56,R03,clips,pool_005,al_pool/pool_005.wav,long_dark,red,maybe,-0.2961,-0.8262,,"the tail - yes,. The first part - no"
2026-07-25T16:11:02,R03,clips,pool_003,al_pool/pool_003.wav,brutalism,red,no,0.0507,-0.4134,,
2026-07-25T16:11:13,R03,clips,pool_000,al_pool/pool_000.wav,long_dark,red,maybe,0.5256,-0.0501,,
2026-07-25T16:11:53,R03,clips,pool_008,al_pool/pool_008.wav,long_dark,green,yes,0.7721,0.0537,,"againm, I would only use the tail"
2026-07-25T16:12:02,R03,clips,pool_002,al_pool/pool_002.wav,long_bright,red,yes,0.1426,0.0447,,
2026-07-25T16:12:24,R03,clips,pool_011,al_pool/pool_011.wav,long_bright,green,maybe,0.8038,0.7097,,first 4 secs is really farty
2026-07-25T16:12:34,R03,clips,pool_009,al_pool/pool_009.wav,stairwell,neutral,maybe,0.2615,-0.0174,,
2026-07-25T16:12:42,R03,clips,pool_005,al_pool/pool_005.wav,dry,neutral,maybe,-0.4816,-0.4816,,
2026-07-25T16:12:58,R03,clips,pool_001,al_pool/pool_001.wav,brutalism,red,no,0.2441,-0.3227,,this sounds like a motorbike
2026-07-25T16:13:05,R03,clips,pool_007,al_pool/pool_007.wav,stairwell,red,yes,0.7629,0.6775,,
2026-07-25T16:13:14,R03,clips,pool_007,al_pool/pool_007.wav,nature,neutral,maybe,0.8025,0.491,,
2026-07-25T16:13:24,R03,clips,pool_007,al_pool/pool_007.wav,brutalism,red,no,0.9095,0.7226,,
2026-07-25T16:13:32,R03,clips,pool_000,al_pool/pool_000.wav,long_bright,neutral,yes,0.4839,-0.1223,,
2026-07-25T16:13:47,R03,clips,pool_011,al_pool/pool_011.wav,nature,neutral,no,1.4812,0.9655,,this sounds like a race car
2026-07-25T16:14:04,R03,clips,pool_009,al_pool/pool_009.wav,nature,red,no,0.2296,-0.1561,,still like a race car tho more distant
2026-07-25T16:14:17,R03,clips,pool_005,al_pool/pool_005.wav,long_bright,neutral,yes,-0.4746,-0.7581,,
2026-07-25T16:14:28,R03,clips,pool_004,al_pool/pool_004.wav,stairwell,red,no,0.0127,-0.2541,,race car
2026-07-25T16:14:38,R03,clips,pool_007,al_pool/pool_007.wav,dry,red,no,0.4286,0.4286,,
2026-07-25T16:14:50,R03,clips,pool_003,al_pool/pool_003.wav,nature,red,no,0.9858,0.5539,,lawnmower
2026-07-25T16:15:11,R03,clips,pool_003,al_pool/pool_003.wav,long_dark,red,maybe,0.1649,-0.0879,,"motobike at the start, tail seems OK"
2026-07-25T16:20:37,R03,clips,vtrans_002,texture_pool/vtrans_002.wav,long_dark,neutral,yes,1.3343,1.1427,,
2026-07-25T16:20:50,R03,clips,vwander_020,texture_pool/vwander_020.wav,brutalism,neutral,yes,-0.1155,-0.304,,
2026-07-25T16:21:03,R03,clips,vtrans_028,texture_pool/vtrans_028.wav,long_dark,green,yes,0.7366,0.8818,,
2026-07-25T16:22:10,R03,clips,vwander_026,texture_pool/vwander_026.wav,long_dark,green,yes,0.5121,0.331,,
2026-07-25T16:23:05,R03,clips,vtrans_019,texture_pool/vtrans_019.wav,long_bright,neutral,yes,0.8392,0.8085,,
2026-07-25T16:23:18,R03,clips,vtrans_031,texture_pool/vtrans_031.wav,long_bright,green,yes,1.04,1.2471,,
2026-07-25T16:23:33,R03,clips,vtrans_022,texture_pool/vtrans_022.wav,stairwell,neutral,maybe,1.3436,1.5046,,
2026-07-25T16:23:50,R03,clips,vtrans_002,texture_pool/vtrans_002.wav,dry,green,yes,2.0373,2.0373,,
2026-07-25T16:24:04,R03,clips,vwander_049,texture_pool/vwander_049.wav,brutalism,green,yes,1.2697,1.1654,,
2026-07-25T16:24:15,R03,clips,vwander_059,texture_pool/vwander_059.wav,stairwell,neutral,yes,0.8469,1.0369,,
2026-07-25T16:24:29,R03,clips,vwander_059,texture_pool/vwander_059.wav,nature,green,yes,0.1828,-0.0155,,
2026-07-25T16:24:40,R03,clips,vwander_059,texture_pool/vwander_059.wav,brutalism,green,yes,0.7677,0.7303,,
2026-07-25T16:24:54,R03,clips,vtrans_028,texture_pool/vtrans_028.wav,long_bright,neutral,yes,0.8482,0.9933,,
2026-07-25T16:25:05,R03,clips,vtrans_031,texture_pool/vtrans_031.wav,nature,red,yes,1.9153,1.6982,,
2026-07-25T16:25:17,R03,clips,vtrans_022,texture_pool/vtrans_022.wav,nature,red,yes,1.5866,1.3419,,
2026-07-25T16:25:30,R03,clips,vtrans_002,texture_pool/vtrans_002.wav,long_bright,green,yes,1.3523,1.1607,,
2026-07-25T16:25:41,R03,clips,vtrans_013,texture_pool/vtrans_013.wav,stairwell,green,yes,1.0239,1.0239,,
2026-07-25T16:25:53,R03,clips,vwander_059,texture_pool/vwander_059.wav,dry,neutral,yes,0.578,0.578,,
2026-07-25T16:27:09,R03,clips,vwander_020,texture_pool/vwander_020.wav,nature,neutral,yes,-0.3911,-0.5986,,
2026-07-25T16:27:22,R03,clips,vwander_020,texture_pool/vwander_020.wav,long_dark,neutral,yes,-0.521,-0.8338,,
2026-07-25T16:28:33,R03,clips,vwander_049,texture_pool/vwander_049.wav,long_bright,neutral,yes,0.8187,0.506,,
